일자,현재가
2007/11/26,354.65
2007/11/27,344
2007/11/28,345
2007/11/29,343
2007/11/30,348.65
2007/12/03,346.95
2007/12/04,348.9
2007/12/05,350.1
2007/12/06,351.6
2007/12/07,347.65
2007/12/09,348.4
2007/12/10,349.35
2007/12/11,349.3
2007/12/12,352.95
2007/12/13,351.8
2007/12/14,357.4
2007/12/16,353.2
2007/12/17,358
2007/12/18,362.5
2007/12/19,358
2007/12/20,358.2
2007/12/21,361.15
2007/12/23,362
2007/12/24,363.4
2007/12/25,366.9
2007/12/26,369
2007/12/27,369.9
2007/12/28,370.5
2007/12/30,370.5
2007/12/31,374.95
2008/01/02,377
2008/01/03,380
2008/01/04,377.75
2008/01/06,371.8
2008/01/07,377.1
2008/01/08,381.5
2008/01/09,382.6
2008/01/10,381.9
2008/01/11,381.3
2008/01/13,381.8
2008/01/14,386.5
2008/01/15,381
2008/01/16,372
2008/01/17,367.1
2008/01/18,375.05
2008/01/21,362.5
2008/01/22,370.95
2008/01/23,369.95
2008/01/24,377.15
2008/01/25,385.45
2008/01/27,383.5
2008/01/28,391
2008/01/29,389.75
2008/01/30,387
2008/01/31,395
2008/02/01,417.05
2008/02/03,420
2008/02/04,425
2008/02/05,418.8
2008/02/06,422
2008/02/07,431
2008/02/08,440.85
2008/02/10,443.9
2008/02/11,444.95
2008/02/12,424.7
2008/02/13,441
2008/02/14,440.15
2008/02/15,451.7
2008/02/18,478
2008/02/19,485.7
2008/02/20,504.4
2008/02/21,521
2008/02/22,515.85
2008/02/24,518
2008/02/25,512
2008/02/26,548
2008/02/27,542.5
2008/02/28,585.25
2008/02/29,571.95
2008/03/03,581.2
2008/03/04,565.45
2008/03/05,559.55
2008/03/06,525.3
2008/03/07,495
2008/03/09,494.5
2008/03/10,478
2008/03/11,487.6
2008/03/12,505
2008/03/13,515.9
2008/03/14,514.4
2008/03/16,514.8
2008/03/17,476
2008/03/18,477
2008/03/19,458
2008/03/20,446.05
2008/03/23,440
2008/03/24,433
2008/03/25,450.1
2008/03/26,462
2008/03/27,453.8
2008/03/28,454.9
2008/03/30,447.5
2008/03/31,437.15
2008/04/01,441.75
2008/04/02,445.1
2008/04/03,447.4
2008/04/04,444.4
2008/04/06,445
2008/04/07,456.95
2008/04/08,457.4
2008/04/09,461.8
2008/04/10,468.75
2008/04/11,475.35
2008/04/13,473
2008/04/14,462.8
2008/04/15,453.7
2008/04/16,462.95
2008/04/17,461.2
2008/04/18,473.4
2008/04/20,463.95
2008/04/21,462.5
2008/04/22,463.4
2008/04/23,447.55
2008/04/24,444
2008/04/25,448.95
2008/04/27,438.15
2008/04/28,440.8
2008/04/29,431.65
2008/04/30,422.75
2008/05/01,415.5
2008/05/02,420
2008/05/05,424.45
2008/05/06,431.4
2008/05/07,425.75
2008/05/08,435.9
2008/05/09,443.85
2008/05/11,446.5
2008/05/12,441
2008/05/13,440.85
